time to reach max speed,Acceleration force,Total tractive effort,Wheel motor Torque,MTT x number of drive wheels,,,,,,,,Fixed Variables,amount,,Variables,Amount,,
0.01,307.5,317.4001713,18.25050985,2.572976433,,,,,,,,mass of grocceries (kg),5.15,,Maximum linear velocity -  Vmax(m/s),0.5,,
0.02,153.75,163.6501713,9.409884851,2.572976433,,,,,,,,mass of vehicle (kg),1,,Angle of Incline (degrees),4.763641691,,
0.03,102.5,112.4001713,6.463009851,2.572976433,,,,,,,,Total mass (kg),6.15,,Time taken required to achieve max speed from 0,0.01,,
0.04,76.875,86.77517132,4.989572351,2.572976433,,,,,,,,Gravity (m/s^2),9.81,,Radius of wheel (m),0.05,,
0.05,61.5,71.40017132,4.105509851,2.572976433,,,,,,,,Weight (N),60.3315, ,circumference (m),0.314159265,,
0.06,51.25,61.15017132,3.516134851,2.572976433,,,,,,,,resistance factor,1.15,,,,,
0.07,43.92857143,53.82874275,3.095152708,2.572976433,,,,,,,,number of drive wheels,2,,Motor specs,,,
0.08,38.4375,48.33767132,2.779416101,2.572976433,,,,,,,,static coefficient,0.85,,rpm,99,1.65,rps
0.09,34.16666667,44.06683799,2.533843184,2.572976433,,,,,,,,surface coefficient,0.015,,motor toque (g/cm),10000,0.981,Nm
0.1,30.75,40.65017132,2.337384851,2.572976433,,,,,,,,rise,1,,,,,
0.11,27.95454545,37.85471678,2.176646215,2.572976433,,,,,,,,run,12,,max speed,0.518362788,,
0.12,25.625,35.52517132,2.042697351,2.572976433,,,,,,,,Gradient,0.083333333,,,,,
0.13,23.65384615,33.55401747,1.929356005,2.572976433,,,,,,,,Normal Weight (N),30.27031097,,,,,
0.14,21.96428571,31.86445704,1.83220628,2.572976433,,,,,,,,,,,,,,
0.15,20.5,30.40017132,1.748009851,2.572976433,,,,,,,,,,,,,,
0.16,19.21875,29.11892132,1.674337976,2.572976433,,,,,,,,,,,,,,
0.17,18.08823529,27.98840661,1.60933338,2.572976433,,,,,,,,,,,,,,
0.18,17.08333333,26.98350465,1.551551518,2.572976433,,,,,,,,,,,,,,
0.19,16.18421053,26.08438185,1.499851956,2.572976433,,,,,,,,Rolling resistence (N),0.9049725,,,,,
0.2,15.375,25.27517132,1.453322351,2.572976433,,,,,,,,Grade resistance (N),8.995198821,,,,,
0.21,14.64285714,24.54302846,1.411224137,2.572976433,,,,,,,,Acceleration Force (N),307.5,,,,,
0.22,13.97727273,23.87744405,1.372953033,2.572976433,,,,,,,,Total Tractive Effort (N),317.4001713,,,,,
0.23,13.36956522,23.26973654,1.338009851,2.572976433,,,,,,,,Wheel torque (N/m),18.25050985,,,,,
0.24,12.8125,22.71267132,1.305978601,2.572976433,,,,,,,,Maximum Tractive Torque (N),1.286488216,,,,,
0.25,12.3,22.20017132,1.276509851,2.572976433,,,,,,,,MTT x number of drive wheels,2.572976433,,,,,
0.26,11.82692308,21.7270944,1.249307928,2.572976433,,,,,,,,,,,,,,
0.27,11.38888889,21.28906021,1.224120962,2.572976433,,,,,,,,,,,,,,
0.28,10.98214286,20.88231418,1.200733065,2.572976433,,,,,,,,,,,,,,
0.29,10.60344828,20.5036196,1.178958127,2.572976433,,,,,,,,,,,,,,
0.3,10.25,20.15017132,1.158634851,2.572976433,,,,,,,,,,,,,,
0.31,9.919354839,19.81952616,1.139622754,2.572976433,,,,,,,,,,,,,,
0.32,9.609375,19.50954632,1.121798913,2.572976433,,,,,,,,,,,,,,
0.33,9.318181818,19.21835314,1.105055305,2.572976433,,,,,,,,,,,,,,
0.34,9.044117647,18.94428897,1.089296616,2.572976433,,,,,,,,,,,,,,
0.35,8.785714286,18.68588561,1.074438422,2.572976433,,,,,,,,,,,,,,
0.36,8.541666667,18.44183799,1.060405684,2.572976433,,,,,,,,,,,,,,
0.37,8.310810811,18.21098213,1.047131473,2.572976433,,,,,,,,,,,,,,
0.38,8.092105263,17.99227658,1.034555904,2.572976433,,,,,,,,,,,,,,
0.39,7.884615385,17.78478671,1.022625236,2.572976433,,,,,,,,,,,,,,
0.4,7.6875,17.58767132,1.011291101,2.572976433,,,,,,,,,,,,,,
0.41,7.5,17.40017132,1.000509851,2.572976433,,,,,,,,,,,,,,
0.42,7.321428571,17.22159989,0.990241994,2.572976433,,,,,,,,,,,,,,
0.43,7.151162791,17.05133411,0.980451711,2.572976433,,,,,,,,,,,,,,
0.44,6.988636364,16.88880768,0.971106442,2.572976433,,,,,,,,,,,,,,
0.45,6.833333333,16.73350465,0.962176518,2.572976433,,,,,,,,,,,,,,
0.46,6.684782609,16.58495393,0.953634851,2.572976433,,,,,,,,,,,,,,
0.47,6.542553191,16.44272451,0.945456659,2.572976433,,,,,,,,,,,,,,
0.48,6.40625,16.30642132,0.937619226,2.572976433,,,,,,,,,,,,,,
0.49,6.275510204,16.17568152,0.930101688,2.572976433,,,,,,,,,,,,,,
0.5,6.15,16.05017132,0.922884851,2.572976433,,,,,,,,,,,,,,
0.51,6.029411765,15.92958309,0.915951027,2.572976433,,,,,,,,,,,,,,
0.52,5.913461538,15.81363286,0.909283889,2.572976433,,,,,,,,,,,,,,
0.53,5.801886792,15.70205811,0.902868342,2.572976433,,,,,,,,,,,,,,
0.54,5.694444444,15.59461577,0.896690407,2.572976433,,,,,,,,,,,,,,
0.55,5.590909091,15.49108041,0.890737124,2.572976433,,,,,,,,,,,,,,
0.56,5.491071429,15.39124275,0.884996458,2.572976433,,,,,,,,,,,,,,
0.57,5.394736842,15.29490816,0.879457219,2.572976433,,,,,,,,,,,,,,
0.58,5.301724138,15.20189546,0.874108989,2.572976433,,,,,,,,,,,,,,
0.59,5.211864407,15.11203573,0.868942054,2.572976433,,,,,,,,,,,,,,
0.6,5.125,15.02517132,0.863947351,2.572976433,,,,,,,,,,,,,,
0.61,5.040983607,14.94115493,0.859116408,2.572976433,,,,,,,,,,,,,,
0.62,4.959677419,14.85984874,0.854441303,2.572976433,,,,,,,,,,,,,,
0.63,4.880952381,14.7811237,0.849914613,2.572976433,,,,,,,,,,,,,,
0.64,4.8046875,14.70485882,0.845529382,2.572976433,,,,,,,,,,,,,,
0.65,4.730769231,14.63094055,0.841279082,2.572976433,,,,,,,,,,,,,,
0.66,4.659090909,14.55926223,0.837157578,2.572976433,,,,,,,,,,,,,,
0.67,4.589552239,14.48972356,0.833159105,2.572976433,,,,,,,,,,,,,,
0.68,4.522058824,14.42223014,0.829278233,2.572976433,,,,,,,,,,,,,,
0.69,4.456521739,14.35669306,0.825509851,2.572976433,,,,,,,,,,,,,,
0.7,4.392857143,14.29302846,0.821849137,2.572976433,,,,,,,,,,,,,,
0.71,4.330985915,14.23115724,0.818291541,2.572976433,,,,,,,,,,,,,,
0.72,4.270833333,14.17100465,0.814832768,2.572976433,,,,,,,,,,,,,,
0.73,4.212328767,14.11250009,0.811468755,2.572976433,,,,,,,,,,,,,,
0.74,4.155405405,14.05557673,0.808195662,2.572976433,,,,,,,,,,,,,,
0.75,4.1,14.00017132,0.805009851,2.572976433,,,,,,,,,,,,,,
0.76,4.046052632,13.94622395,0.801907877,2.572976433,,,,,,,,,,,,,,
0.77,3.993506494,13.89367781,0.798886474,2.572976433,,,,,,,,,,,,,,
0.78,3.942307692,13.84247901,0.795942543,2.572976433,,,,,,,,,,,,,,
0.79,3.892405063,13.79257638,0.793073142,2.572976433,,,,,,,,,,,,,,
0.8,3.84375,13.74392132,0.790275476,2.572976433,,,,,,,,,,,,,,
0.81,3.796296296,13.69646762,0.787546888,2.572976433,,,,,,,,,,,,,,
0.82,3.75,13.65017132,0.784884851,2.572976433,,,,,,,,,,,,,,
0.83,3.704819277,13.6049906,0.782286959,2.572976433,,,,,,,,,,,,,,
0.84,3.660714286,13.56088561,0.779750922,2.572976433,,,,,,,,,,,,,,
0.85,3.617647059,13.51781838,0.777274557,2.572976433,,,,,,,,,,,,,,
0.86,3.575581395,13.47575272,0.774855781,2.572976433,,,,,,,,,,,,,,
0.87,3.534482759,13.43465408,0.77249261,2.572976433,,,,,,,,,,,,,,
0.88,3.494318182,13.3944895,0.770183146,2.572976433,,,,,,,,,,,,,,
0.89,3.45505618,13.3552275,0.767925581,2.572976433,,,,,,,,,,,,,,
0.9,3.416666667,13.31683799,0.765718184,2.572976433,,,,,,,,,,,,,,
