time to reach max speed,Wheel motor torque
0.01,48.0427
0.02,24.6154
0.03,16.8063
0.04,12.9018
0.05,10.559
0.06,8.9972
0.07,7.8816
0.08,7.0449
0.09,6.3942
0.1,5.8736
0.11,5.4476
0.12,5.0927
0.13,4.7923
0.14,4.5349
0.15,4.3117
0.16,4.1165
0.17,3.9443
0.18,3.7911
0.19,3.6541
0.2,3.5308
0.21,3.4193
0.22,3.3179
0.23,3.2253
0.24,3.1404
0.25,3.0623
0.26,2.9902
0.27,2.9235
0.28,2.8615
0.29,2.8038
0.3,2.7499
0.31,2.6995
0.32,2.6523
0.33,2.6079
0.34,2.5662
0.35,2.5268
0.36,2.4896
0.37,2.4545
0.38,2.4211
0.39,2.3895
0.4,2.3595
0.41,2.3309
0.42,2.3037
0.43,2.2778
0.44,2.253
0.45,2.2293
0.46,2.2067
0.47,2.185
0.48,2.1642
0.49,2.1443
0.5,2.1252
0.51,2.1068
0.52,2.0892
0.53,2.0722
0.54,2.0558
0.55,2.04
0.56,2.0248
0.57,2.0101
0.58,1.9959
0.59,1.9823
0.6,1.969
0.61,1.9562
0.62,1.9438
0.63,1.9318
0.64,1.9202
0.65,1.909
0.66,1.898
0.67,1.8874
0.68,1.8771
0.69,1.8672
0.7,1.8575
0.71,1.848
0.72,1.8389
0.73,1.83
0.74,1.8213
0.75,1.8128
0.76,1.8046
0.77,1.7966
0.78,1.7888
0.79,1.7812
0.8,1.7738
0.81,1.7666
0.82,1.7595
0.83,1.7526
0.84,1.7459
0.85,1.7393
0.86,1.7329
0.87,1.7267
0.88,1.7205
0.89,1.7146
0.9,1.7087
0.91,1.703
0.92,1.6974
0.93,1.6919
0.94,1.6866
0.95,1.6813
0.96,1.6762
0.97,1.6711
0.98,1.6662
0.99,1.6614
1.0,1.6567
